Country,Students(%),Latitude,Longitude
Australia,28.375,-25.274399,133.775131
Austria,17.641,47.516232,14.550072
Belgium,10.043,50.503887,4.469936
Canada,16.221,56.130367,-106.346771
Czech Republic,14.364,49.817493,15.472962
Denmark,10.491,55.670249,9.5018
Finland,8.053,63.2467777,25.9209164
France,9.175,46.603354,1.8883335
Germany,10.106,51.1638175,10.4478313
Greece,3.499,38.9953683,21.9877132
Hungary,12.605,47.1817585,19.5060937
Iceland,8.449,64.9841821,-18.1059013
Ireland,10.715,52.865196,-7.9794599
Italy,2.831,42.6384261,12.674297
Japan,5.238,36.5748441,139.2394179
Korea,3.256,36.638392,127.6961188
Luxembourg,48.648,49.8158683,6.1296751
Mexico,0.707,23.6585116,-102.0077097
Netherlands,12.673,52.2434979,5.6343227
New Zealand,20.769,-41.5000831,172.8344077
Norway,4.276,60.5000209,9.0999715
Poland,3.857,52.215933,19.134422
Portugal,9.711,39.6621648,-8.1353519
Slovakia,9.041,48.7411522,19.4528646
Spain,3.698,39.3260685,-4.8379791
Sweden,7.152,59.6749712,14.5208584
Switzerland,17.799,46.7985624,8.2319736
Turkey,1.987,38.9597594,34.9249653
United Kingdom,18.677,54.7023545,-3.2765753
United States of America,5.189,39.7837304,-100.445882
Argentina,3.5,-34.9964963,-64.9672817
Brazil,0.246,-10.3333333,-53.2
Chile,0.819,-31.7613365,-71.3187697
China,0.428,35.000074,104.999927
Colombia,0.219,4.099917,-72.9088133
Estonia,11.087,58.7523778,25.3319078
India,0.135,22.3511148,78.6677428
Israel,2.985,30.8124247,34.8594762
Latvia,10.429,56.8406494,24.7537645
Lithuania,5.992,55.3500003,23.7499997
Russia,4.212,64.6863136,97.7453061
Saudi Arabia,4.429,25.6242618,42.3528328
Slovenia,6.673,45.8133113,14.4808369
South Africa,3.472,-28.8166236,24.991639
